"","x","y"
"187",-95.25,35.75
"188",-100.75,24.25
"189",-90.25,20.25
"190",-83.25,14.25
"191",-104.75,23.75
"192",-122.25,49.25
"193",-101.25,28.25
"194",-88.75,51.75
"195",-117.75,51.75
"196",-101.25,47.25
"197",-98.25,53.75
"198",-88.25,42.75
"199",-106.25,38.25
"200",-111.25,31.75
"201",-100.25,56.75
"202",-119.25,53.25
"203",-73.25,1.75
"204",-120.75,40.75
"205",-112.25,31.75
"206",-97.75,36.25
"207",-90.75,35.25
"208",-85.25,36.25
"209",-91.75,36.75
"210",-111.75,45.75
"211",-115.75,34.25
"212",-60.75,5.75
"213",-87.75,33.75
"214",-106.25,38.75
"215",-110.75,34.25
"216",-70.25,4.75
"217",-66.75,6.75
"218",-102.75,38.25
"219",-84.75,40.25
"220",-92.75,41.75
"221",-69.75,2.25
"222",-119.25,41.75
"223",-74.25,43.25
"224",-104.25,47.25
"225",-109.25,40.25
"226",-105.25,30.25
"227",-88.75,33.25
"228",-61.25,2.75
"229",-91.75,18.25
"230",-60.25,53.25
"231",-99.25,27.75
"232",-120.75,43.75
"233",-75.75,51.75
"234",-105.75,20.25
"235",-127.25,52.25
"236",-65.75,1.75
"237",-72.75,40.75
"238",-79.25,50.25
"239",-117.25,35.75
"240",-81.25,40.75
"241",-94.25,49.75
"242",-83.25,46.25
"243",-101.75,24.75
"244",-91.25,55.25
"245",-97.25,53.75
"246",-76.75,41.25
"247",-80.25,26.25
"248",-71.25,41.25
"249",-82.25,53.25
"250",-88.75,31.75
"251",-97.25,46.25
"252",-97.25,47.25
"253",-103.25,28.25
"254",-61.25,14.75
"255",-84.25,49.75
"256",-90.75,34.75
"257",-77.75,0.25
"258",-109.75,31.75
"259",-76.75,1.25
"260",-75.75,5.25
"261",-89.75,50.75
"262",-102.25,51.75
"263",-101.25,56.75
"264",-75.25,54.25
"265",-69.25,-1.25
"266",-65.25,18.25
"267",-116.25,51.25
"268",-78.25,51.75
"269",-69.75,5.25
"270",-100.25,37.75
"271",-84.75,42.75
"272",-122.25,56.25
"273",-104.75,51.25
"274",-124.25,44.25
"275",-120.25,47.75
"276",-90.75,34.25
"277",-69.75,56.25
"278",-112.75,34.25
"279",-108.25,44.75
"280",-115.25,35.25
"281",-91.25,44.75
"282",-117.75,37.75
"283",-97.25,19.25
"284",-105.75,24.25
"285",-71.75,8.75
"286",-120.75,55.75
"287",-106.25,48.75
"288",-74.25,45.75
"289",-86.25,50.25
"290",-104.25,37.25
"291",-118.25,56.25
"292",-103.75,26.25
"293",-77.25,44.25
"294",-117.75,54.75
"295",-66.75,55.25
"296",-65.75,8.75
"297",-106.25,43.75
"298",-64.25,45.75
"299",-77.25,44.75
"300",-73.25,9.25
"301",-108.75,30.25
"302",-104.25,19.25
"303",-122.25,38.25
"304",-88.75,35.25
"305",-100.75,19.25
"306",-88.25,44.75
"307",-114.75,33.25
"308",-126.25,54.25
"309",-75.75,35.25
"310",-74.25,49.25
"311",-68.25,3.75
"312",-124.25,54.25
"313",-85.25,10.25
"314",-83.25,55.25
"315",-109.75,26.75
"316",-72.75,1.75
"317",-115.25,52.75
"318",-112.75,41.25
"319",-97.25,31.75
"320",-85.75,14.25
"321",-115.25,39.25
"322",-97.75,31.75
"323",-86.25,51.25
"324",-78.25,50.75
"325",-85.25,47.25
"326",-126.75,50.75
"327",-113.25,34.25
"328",-112.25,44.25
"329",-84.75,9.75
"330",-101.75,19.25
"331",-84.25,54.75
"332",-70.25,52.25
"333",-80.25,46.25
"334",-95.75,53.25
"335",-84.25,9.75
"336",-61.25,1.25
"337",-94.75,51.75
"338",-98.25,55.75
"339",-76.75,6.25
"340",-108.25,46.25
"341",-71.25,18.25
"342",-78.75,54.75
"343",-125.25,54.25
"344",-98.75,55.25
"345",-87.25,20.25
"346",-112.25,49.25
"347",-85.75,55.25
"348",-98.75,29.75
"349",-83.25,10.25
"350",-91.25,56.25
"351",-84.25,22.25
"352",-60.25,43.75
"353",-83.75,32.25
"354",-76.25,48.75
"355",-85.75,50.25
"356",-68.25,1.25
"357",-74.75,56.75
"358",-80.75,27.75
"359",-64.75,49.25
"360",-89.75,14.75
"361",-72.25,12.25
"362",-101.75,44.25
"363",-114.75,33.75
"364",-106.25,46.75
"365",-101.25,32.25
"366",-80.25,-0.75
"367",-62.75,56.75
"368",-107.75,33.75
"369",-81.75,46.75
"370",-73.25,8.25
"371",-88.25,17.25
"372",-77.75,17.75
"373",-89.75,54.75
"374",-111.75,29.25
"375",-108.75,48.25
"376",-89.75,15.25
"377",-108.75,40.75
"378",-62.75,53.25
"379",-88.75,16.75
"380",-68.75,7.25
"381",-82.75,42.75
"382",-76.75,41.75
"383",-112.25,29.75
"384",-121.75,39.25
"385",-97.25,55.75
"386",-103.75,51.75
"387",-77.25,5.25
"388",-79.75,56.75
"389",-80.25,43.25
"390",-82.75,44.25
"391",-68.75,53.25
"392",-116.25,52.25
"393",-98.25,39.75
"394",-80.25,45.25
"395",-78.75,36.75
"396",-103.75,28.75
"397",-111.25,54.75
"398",-101.25,18.25
"399",-102.25,24.25
"400",-81.25,31.75
"401",-78.75,35.75
"402",-69.75,4.75
"403",-61.75,51.75
"404",-71.25,19.75
"405",-103.25,50.25
"406",-110.25,31.75
"407",-110.25,31.25
"408",-106.25,50.75
"409",-67.25,3.75
"410",-74.25,22.25
"411",-119.25,38.25
"412",-71.75,11.25
"413",-72.25,51.75
"414",-82.75,49.25
"415",-105.25,49.75
"416",-60.75,14.25
"417",-78.25,47.75
"418",-64.25,3.25
"419",-96.75,43.75
"420",-109.75,50.25
"421",-76.25,24.75
"422",-104.75,29.75
"423",-118.25,47.25
"424",-93.25,32.75
"425",-69.25,55.25
"426",-82.75,29.25
"427",-96.25,51.25
"428",-84.25,37.75
"429",-87.75,15.25
"430",-112.25,30.25
"431",-126.25,56.75
"432",-110.25,53.75
"433",-62.25,51.25
"434",-104.25,51.25
"435",-61.75,10.25
"436",-102.75,48.25
"437",-127.75,53.25
"438",-99.75,46.75
"439",-120.25,52.25
"440",-81.25,45.75
"441",-82.75,47.75
"442",-81.75,34.75
"443",-101.75,38.25
"444",-65.25,46.25
"445",-99.75,25.75
"446",-92.75,49.75
"447",-72.75,10.25
"448",-89.25,46.25
"449",-111.25,56.25
"450",-101.25,52.25
"451",-89.25,51.25
"452",-99.75,48.75
"453",-84.75,53.25
"454",-103.25,48.25
"455",-97.25,44.25
"456",-129.25,54.75
"457",-89.75,53.75
"458",-114.75,53.25
"459",-88.75,13.25
"460",-88.25,56.25
"461",-62.75,-0.25
"462",-84.75,31.75
"463",-63.75,0.25
"464",-103.25,41.75
"465",-84.25,43.75
"466",-98.75,46.25
"467",-88.75,30.75
"468",-112.25,43.75
"469",-97.25,48.75
"470",-74.75,9.25
"471",-66.25,5.25
"472",-100.25,39.25
"473",-97.75,54.75
"474",-75.25,0.25
"475",-67.25,-0.25
"476",-97.75,56.75
"477",-71.75,19.75
"478",-70.25,-1.25
"479",-86.25,31.75
"480",-80.75,32.25
"481",-105.75,29.25
"482",-102.75,35.75
"483",-110.25,30.25
"484",-100.25,52.25
"485",-125.25,52.75
"486",-75.75,49.75
"487",-106.25,30.75
"488",-90.75,50.25
"489",-61.75,7.75
"490",-99.25,26.25
"491",-70.75,3.25
"492",-105.75,27.25
"493",-80.75,8.25
"494",-62.25,-0.25
"495",-100.25,40.25
"496",-115.25,29.25
"497",-107.75,38.25
"498",-117.25,39.75
"499",-116.75,33.75
"500",-98.25,25.75
"501",-91.25,35.75
"502",-99.25,45.75
"503",-69.25,18.75
"504",-96.25,31.25
"505",-90.25,41.75
"506",-102.75,26.75
"507",-96.75,17.25
"508",-113.25,54.75
"509",-77.75,23.75
"510",-90.75,16.25
"511",-62.75,8.25
"512",-109.75,41.75
"513",-114.25,27.25
"514",-62.25,6.25
"515",-111.75,46.25
"516",-85.75,51.25
"517",-111.75,30.25
"518",-112.75,48.75
"519",-111.25,40.75
"520",-112.25,34.75
"521",-128.25,55.75
"522",-70.75,8.25
"523",-86.75,46.75
"524",-67.25,5.25
"525",-108.75,54.25
"526",-107.75,36.25
"527",-101.75,26.75
"528",-94.75,50.75
"529",-89.75,56.25
"530",-104.25,24.75
"531",-95.25,33.25
"532",-91.25,43.25
"533",-79.25,43.25
"534",-85.75,33.75
"535",-80.25,7.75
"536",-71.75,12.25
"537",-109.25,52.25
"538",-86.75,51.25
"539",-78.25,35.75
"540",-89.25,42.25
"541",-99.25,46.25
"542",-71.75,6.25
"543",-102.25,28.25
"544",-89.75,50.25
"545",-77.75,26.75
"546",-107.75,29.75
"547",-85.75,15.25
"548",-117.75,33.75
"549",-86.75,45.25
"550",-106.75,44.25
"551",-64.75,-0.25
"552",-118.25,36.75
"553",-116.25,48.25
"554",-85.25,12.25
"555",-77.25,3.75
"556",-87.25,30.75
"557",-73.25,4.25
"558",-103.75,32.75
"559",-94.75,32.75
"560",-91.75,39.25
"561",-60.25,8.25
"562",-104.75,23.25
"563",-98.75,29.25
"564",-75.75,3.25
"565",-61.75,52.75
"566",-89.25,20.75
"567",-124.75,52.25
"568",-82.25,31.25
"569",-92.75,37.75
"570",-75.25,23.25
"571",-95.75,39.75
"572",-71.25,52.25
"573",-122.25,47.75
"574",-119.25,50.75
"575",-90.75,55.75
"576",-79.75,35.25
"577",-84.75,37.25
"578",-109.75,40.25
"579",-62.25,10.75
"580",-94.75,49.25
"581",-94.25,30.25
"582",-67.25,5.75
"583",-65.75,1.25
"584",-71.75,1.75
"585",-105.25,37.75
"586",-68.25,54.25
"587",-115.25,28.25
"588",-73.75,9.25
"589",-67.25,7.75
"590",-73.75,1.25
"591",-63.75,53.25
"592",-80.75,25.75
"593",-109.25,30.25
"594",-91.25,31.75
"595",-87.25,36.75
"596",-112.75,41.75
"597",-107.75,54.75
"598",-77.75,2.25
"599",-73.25,0.25
"600",-108.75,33.75
"601",-74.25,7.75
"602",-61.75,46.25
"603",-68.25,0.75
"604",-92.75,15.25
"605",-121.75,52.75
"606",-87.25,41.75
"607",-65.75,44.25
"608",-65.25,-0.25
"609",-72.75,10.75
"610",-72.25,55.75
"611",-67.25,56.25
"612",-122.25,40.25
"613",-68.25,10.25
"614",-73.75,46.25
"615",-84.25,44.75
"616",-75.75,19.75
"617",-111.75,36.25
"618",-106.25,36.75
"619",-90.75,29.25
"620",-102.25,41.25
"621",-70.75,-1.25
"622",-98.75,18.25
"623",-123.25,43.75
"624",-93.25,49.75
"625",-77.75,48.75
"626",-101.25,40.25
"627",-94.75,55.75
"628",-75.75,1.75
"629",-118.75,43.25
"630",-68.25,0.25
"631",-74.75,1.25
"632",-77.75,38.25
"633",-96.25,52.25
"634",-76.25,46.75
"635",-66.75,8.75
"636",-84.75,44.75
"637",-95.75,18.75
"638",-101.75,41.75
"639",-124.25,39.75
"640",-95.25,32.75
"641",-75.75,38.75
"642",-94.75,49.75
"643",-77.25,34.75
"644",-115.25,47.25
"645",-68.25,7.25
"646",-105.75,46.25
"647",-130.75,55.75
"648",-70.25,10.75
"649",-67.75,9.75
"650",-115.75,38.75
"651",-72.25,3.75
"652",-119.25,41.25
"653",-76.75,46.75
"654",-123.25,52.75
"655",-85.75,35.25
"656",-74.25,1.75
"657",-61.75,0.25
"658",-111.75,46.75
"659",-66.75,0.75
"660",-100.25,19.75
"661",-102.75,31.75
"662",-79.25,34.25
"663",-112.25,55.75
"664",-119.75,36.75
"665",-77.25,43.75
"666",-124.75,53.25
"667",-112.75,38.25
"668",-101.25,34.25
"669",-99.25,35.75
"670",-99.25,51.25
"671",-91.25,14.25
"672",-68.75,47.75
"673",-68.75,48.25
"674",-68.25,52.25
"675",-84.75,11.25
"676",-107.25,54.75
"677",-69.25,10.25
"678",-87.75,52.75
"679",-105.75,35.75
"680",-90.25,31.75
"681",-71.25,0.25
"682",-78.75,1.75
"683",-78.75,45.75
"684",-85.75,47.75
"685",-120.75,46.25
"686",-85.25,40.25
"687",-115.25,44.75
"688",-89.25,47.25
"689",-94.25,47.25
"690",-73.25,42.25
"691",-105.75,43.75
"692",-118.25,46.75
"693",-72.75,54.25
"694",-89.25,52.25
"695",-109.75,46.75
"696",-90.75,19.75
"697",-73.75,41.25
"698",-123.75,47.25
"699",-80.75,51.75
"700",-101.75,45.75
"701",-66.25,51.75
"702",-77.25,21.25
"703",-90.75,15.25
"704",-73.75,48.25
"705",-85.75,11.25
"706",-101.75,25.25
"707",-64.25,-0.75
"708",-70.25,51.75
"709",-111.25,30.75
"710",-118.25,33.75
"711",-115.75,32.75
"712",-84.75,49.75
"713",-104.75,38.25
"714",-62.25,52.75
"715",-106.25,47.75
"716",-68.25,49.25
"717",-98.75,17.25
"718",-93.75,46.75
"719",-125.25,51.75
"720",-80.75,26.25
"721",-117.25,46.75
"722",-72.25,52.75
"723",-100.75,38.25
"724",-62.25,5.25
"725",-101.25,24.75
"726",-114.75,42.75
"727",-82.25,53.75
"728",-73.75,-0.25
"729",-105.75,26.25
"730",-73.25,11.25
"731",-65.75,2.25
"732",-62.25,44.75
"733",-91.25,34.25
"734",-63.75,-0.75
"735",-101.75,27.25
"736",-120.25,45.25
"737",-100.75,35.75
"738",-68.75,4.75
"739",-103.75,25.75
"740",-63.25,1.25
"741",-99.75,36.25
"742",-106.75,28.75
"743",-60.25,6.25
"744",-122.75,45.25
"745",-117.25,40.25
"746",-76.25,5.75
"747",-69.25,9.75
"748",-64.25,52.25
"749",-67.25,49.75
"750",-73.75,22.75
"751",-66.75,2.75
"752",-105.75,28.75
"753",-105.25,54.25
"754",-82.25,35.25
"755",-85.25,12.75
"756",-121.25,44.25
"757",-100.75,34.25
"758",-68.75,50.25
"759",-118.75,55.25
"760",-81.25,26.25
"761",-96.25,19.75
"762",-122.75,40.75
"763",-102.25,40.75
"764",-95.75,49.75
"765",-94.75,54.75
"766",-75.75,9.75
"767",-96.25,41.25
"768",-86.25,40.25
"769",-102.75,43.75
"770",-107.25,52.25
"771",-105.75,42.75
"772",-85.75,14.75
"773",-89.25,50.75
"774",-66.75,0.25
"775",-109.75,42.25
"776",-96.75,51.75
"777",-109.75,34.25
"778",-70.25,8.25
"779",-111.75,35.25
"780",-101.25,41.75
"781",-88.75,30.25
"782",-63.75,54.75
"783",-82.25,38.25
"784",-90.25,15.75
"785",-62.25,55.25
"786",-110.75,25.75
"787",-111.75,40.25
"788",-97.75,42.75
"789",-113.75,52.25
"790",-101.25,17.25
"791",-85.25,52.75
"792",-94.75,39.25
"793",-60.25,0.75
"794",-95.75,56.25
"795",-100.25,27.75
"796",-74.25,41.75
"797",-89.75,34.75
"798",-116.75,56.75
"799",-108.75,48.75
"800",-84.25,47.25
"801",-110.25,50.25
"802",-77.25,-0.75
"803",-104.25,35.25
"804",-60.25,6.75
"805",-115.25,32.75
"806",-99.25,37.25
"807",-120.75,36.75
"808",-117.75,53.75
"809",-125.75,54.75
"810",-110.25,49.25
"811",-85.25,15.75
"812",-72.25,2.25
"813",-85.75,42.25
"814",-116.75,52.75
"815",-104.75,44.75
"816",-101.25,36.75
"817",-108.25,42.75
"818",-77.25,36.75
"819",-98.75,44.25
"820",-112.75,31.25
"821",-111.25,24.75
"822",-110.25,48.75
"823",-110.75,40.75
"824",-130.25,54.75
"825",-93.75,37.75
"826",-113.25,31.75
"827",-73.75,56.75
"828",-93.25,44.75
"829",-122.75,46.75
"830",-88.75,15.25
"831",-71.25,47.25
"832",-103.75,53.25
"833",-119.25,40.75
"834",-105.25,20.25
"835",-100.25,17.75
"836",-65.75,56.75
"837",-104.75,24.75
"838",-85.25,51.25
"839",-117.25,56.25
"840",-102.75,27.25
"841",-100.25,36.25
"842",-98.25,32.25
"843",-89.75,51.75
"844",-79.25,41.25
"845",-81.25,39.25
"846",-76.25,41.75
"847",-97.25,26.75
"848",-64.75,9.25
"849",-60.25,2.75
"850",-68.75,9.25
"851",-110.75,40.25
"852",-112.75,54.75
"853",-72.25,4.25
"854",-65.75,3.75
"855",-100.75,47.25
"856",-70.75,53.75
"857",-111.25,35.25
"858",-62.75,50.25
"859",-79.75,40.75
"860",-106.25,50.25
"861",-114.75,46.75
"862",-113.25,52.75
"863",-90.25,42.25
"864",-76.25,49.75
"865",-80.75,46.75
"866",-103.25,32.75
"867",-96.25,31.75
"868",-67.75,-0.75
"869",-68.75,56.25
"870",-86.75,39.25
"871",-117.25,36.25
"872",-77.25,52.75
"873",-74.25,39.75
"874",-76.75,20.75
"875",-95.25,53.25
"876",-84.25,12.25
"877",-87.75,18.75
"878",-99.75,51.75
"879",-81.25,38.75
"880",-69.25,1.25
"881",-76.25,7.75
"882",-66.75,-0.25
"883",-59.25,52.75
"884",-89.25,40.25
"885",-78.25,34.75
"886",-68.75,7.75
"887",-74.25,-0.75
"888",-84.25,41.75
"889",-93.75,52.75
"890",-95.25,31.75
"891",-107.25,46.25
"892",-61.75,54.25
"893",-60.25,3.75
"894",-115.75,31.25
"895",-112.75,36.25
"896",-104.25,22.25
"897",-96.25,18.75
"898",-98.25,17.25
"899",-102.75,39.75
"900",-109.25,36.25
"901",-99.25,55.75
"902",-64.25,0.25
"903",-115.25,50.25
"904",-118.25,48.25
"905",-86.25,37.75
"906",-101.75,25.75
"907",-94.75,40.75
"908",-110.25,54.25
"909",-113.25,41.75
"910",-82.25,54.75
"911",-59.25,5.25
"912",-70.75,5.25
"913",-103.75,30.25
"914",-78.25,43.75
"915",-93.75,36.75
"916",-75.25,43.25
"917",-69.75,1.75
"918",-79.75,49.75
"919",-71.25,6.75
"920",-62.25,55.75
"921",-107.75,49.25
"922",-75.25,52.25
"923",-89.25,45.75
"924",-120.25,53.75
"925",-114.25,50.75
"926",-66.75,8.25
"927",-103.75,51.25
"928",-129.75,56.25
"929",-109.25,56.25
"930",-108.25,27.75
"931",-124.25,48.75
"932",-95.25,30.75
"933",-109.25,26.75
"934",-110.75,52.25
"935",-90.75,36.25
"936",-101.75,46.75
"937",-77.25,5.75
"938",-113.75,28.75
"939",-70.25,41.25
"940",-75.25,39.25
"941",-117.25,35.25
"942",-109.75,31.25
"943",-62.25,0.25
"944",-104.75,26.75
"945",-61.75,2.75
"946",-83.25,31.75
"947",-104.75,37.75
"948",-123.75,47.75
"949",-112.25,24.75
"950",-93.25,46.25
"951",-94.75,17.25
"952",-66.75,48.25
"953",-88.25,18.75
"954",-107.75,30.75
"955",-127.75,54.75
"956",-66.75,10.25
"957",-82.75,21.75
"958",-104.25,24.25
"959",-78.25,45.75
"960",-62.75,56.25
"961",-113.25,49.75
"962",-105.25,27.25
"963",-71.25,2.25
"964",-83.25,9.25
"965",-60.25,45.75
"966",-113.25,31.25
"967",-120.75,54.75
"968",-68.25,8.25
"969",-97.25,45.75
"970",-124.25,42.25
"971",-69.25,4.25
"972",-100.75,26.25
"973",-78.75,39.25
"974",-114.25,47.25
"975",-103.25,40.75
"976",-96.75,20.25
"977",-87.25,13.25
"978",-96.25,45.75
"979",-63.75,7.25
"980",-102.25,30.75
"981",-82.75,27.25
"982",-81.25,32.75
"983",-74.75,23.25
"984",-85.75,45.75
"985",-79.75,41.25
"986",-111.75,32.25
"987",-106.25,35.75
"988",-100.75,28.25
"989",-97.75,35.75
"990",-67.25,1.75
"991",-78.75,47.75
"992",-122.25,49.75
"993",-82.75,38.75
"994",-115.25,45.75
"995",-91.25,48.75
"996",-61.25,2.25
"997",-66.25,10.25
"998",-77.75,44.75
"999",-65.25,43.75
"1000",-73.75,21.25
