"","x"
"343",1
"344",2
"345",2
"346",3
"347",3
"348",1
"349",4
"350",1
"351",3
"352",2
"353",4
"354",2
"355",2
"356",4
"357",3
"358",3
"359",3
"360",3
"361",4
"362",3
"363",3
"364",1
"365",2
"366",2
"367",4
"368",2
"369",2
"370",1
"371",2
"372",1
"373",3
"374",1
"375",1
"376",1
"377",3
"378",4
"379",3
"380",3
"381",1
"382",2
"383",3
"384",3
"385",2
"386",4
"387",2
"388",1
"389",4
"390",3
"391",3
"392",3
"393",1
"394",4
"395",3
"396",2
"397",3
"398",4
"399",2
"400",1
"401",1
"402",4
"403",1
"404",1
"405",2
"406",2
"407",1
"408",4
"409",3
"410",3
"411",1
"412",4
"413",3
"414",1
"415",1
"416",3
"417",4
"418",3
"419",3
"420",1
"421",1
"422",3
"423",3
"424",1
"425",1
"426",3
"427",3
"428",1
"429",3
"430",1
"431",4
"432",1
"433",4
"434",2
"435",3
"436",2
"437",1
"438",3
"439",3
"440",4
"441",1
"442",2
"443",3
"444",1
"445",3
"446",4
"447",3
"448",2
"449",3
"450",3
"451",1
"452",3
"453",1
"454",4
"455",1
"456",1
"457",1
"458",3
"459",3
"460",3
"461",4
"462",3
"463",1
"464",2
"465",1
"466",1
"467",1
"468",4
"469",4
"470",2
"471",1
"472",2
"473",3
"474",3
"475",4
"476",1
"477",4
"478",4
"479",2
"480",2
"481",3
"482",2
"483",2
"484",1
"485",3
"486",4
"487",1
"488",3
"489",3
"490",4
"491",4
"492",2
"493",2
"494",4
"495",4
"496",3
"497",4
"498",1
"499",4
"500",4
"501",3
"502",4
"503",3
"504",4
"505",1
"506",2
"507",1
"508",1
"509",2
"510",3
"511",4
"512",2
"513",3
"514",3
"515",4
"516",4
"517",4
"518",4
"519",2
"520",1
"521",2
"522",1
"523",3
"524",2
"525",4
"526",2
"527",2
"528",2
"529",3
"530",4
"531",2
"532",2
"533",2
"534",2
"535",4
"536",3
"537",4
"538",2
"539",4
"540",2
"541",2
"542",4
"543",4
"544",2
"545",1
"546",3
"547",3
"548",2
"549",2
"550",2
"551",3
"552",3
"553",3
"554",1
"555",3
"556",4
"557",2
"558",3
"559",1
"560",1
"561",2
"562",1
"563",1
"564",4
"565",3
"566",3
"567",2
"568",1
"569",4
"570",1
"571",3
"572",3
"573",4
"574",1
"575",2
"576",1
"577",2
"578",1
"579",1
"580",2
"581",2
"582",1
"583",2
"584",2
"585",3
"586",1
"587",2
"588",4
"589",4
"590",3
"591",3
"592",3
"593",4
"594",1
"595",1
"596",1
"597",2
"598",3
"599",1
"600",4
"601",4
"602",3
"603",4
"604",2
"605",4
"606",3
"607",1
"608",3
"609",3
"610",3
"611",3
"612",4
"613",4
"614",3
"615",2
"616",4
"617",3
"618",1
"619",3
"620",3
"621",3
"622",2
"623",1
"624",2
"625",2
"626",4
"627",2
"628",4
"629",1
"630",4
"631",2
"632",4
"633",1
"634",1
"635",1
"636",3
"637",4
"638",3
"639",1
"640",3
"641",3
"642",1
"643",4
"644",2
"645",3
"646",2
"647",1
"648",1
"649",4
"650",3
"651",4
"652",1
"653",3
"654",1
"655",2
"656",1
"657",3
"658",3
"659",2
"660",1
"661",4
"662",2
"663",4
"664",1
"665",2
"666",1
"667",4
"668",1
"669",3
"670",1
"671",4
"672",2
"673",3
"674",3
"675",4
"676",1
"677",2
"678",4
"679",4
"680",2
"681",2
"682",2
"683",3
"684",4
"685",2
"686",4
"687",1
"688",2
"689",4
"690",4
"691",2
"692",3
"693",1
"694",2
"695",2
"696",2
"697",1
"698",1
"699",3
"700",3
"701",4
"702",2
"703",3
"704",1
"705",2
"706",1
"707",3
"708",4
"709",1
"710",2
"711",1
"712",2
"713",3
"714",1
"715",3
"716",4
"717",2
"718",4
"719",3
"720",3
"721",3
"722",1
"723",3
"724",3
"725",1
"726",1
"727",2
"728",1
"729",2
"730",4
"731",4
"732",3
"733",3
"734",4
"735",3
"736",2
"737",3
"738",2
"739",4
"740",3
"741",2
"742",3
"743",3
"744",4
"745",2
"746",4
"747",1
"748",3
"749",3
"750",4
"751",3
"752",2
"753",2
"754",2
"755",1
"756",1
"757",3
"758",3
"759",2
"760",2
"761",4
"762",2
"763",3
"764",2
"765",3
"766",1
"767",4
"768",2
"769",1
"770",3
"771",4
"772",4
"773",4
"774",4
"775",2
"776",4
"777",4
"778",2
"779",3
"780",3
"781",1
"782",2
"783",2
"784",3
"785",4
"786",2
"787",4
"788",1
"789",1
"790",2
"791",2
"792",4
"793",4
"794",4
"795",2
"796",4
"797",3
"798",3
"799",4
"800",1
"801",1
"802",1
"803",4
"804",2
"805",3
"806",1
"807",3
"808",4
"809",4
"810",4
"811",1
"812",4
"813",3
"814",1
"815",1
"816",4
"817",3
"818",2
"819",2
"820",2
"821",3
"822",1
"823",4
"824",2
"825",2
"826",2
"827",1
"828",2
"829",1
"830",2
"831",4
"832",2
"833",1
"834",3
"835",3
"836",1
"837",4
"838",1
"839",3
"840",3
"841",4
"842",2
"843",3
"844",3
"845",3
"846",4
"847",4
"848",2
"849",4
"850",1
"851",1
"852",3
"853",2
"854",4
"855",4
"856",2
"857",1
"858",1
"859",2
"860",1
"861",2
"862",3
"863",1
"864",1
"865",3
"866",1
"867",4
"868",2
"869",4
"870",3
"871",2
"872",4
"873",1
"874",1
"875",2
"876",1
"877",1
"878",3
"879",1
"880",2
"881",3
"882",1
"883",3
"884",3
"885",1
"886",4
"887",3
"888",2
"889",2
"890",4
"891",3
"892",3
"893",4
"894",1
"895",3
"896",3
"897",3
"898",3
"899",3
"900",4
"901",3
"902",1
"903",2
"904",2
"905",4
"906",3
"907",2
"908",4
"909",4
"910",3
"911",3
"912",3
"913",3
"914",2
"915",1
"916",4
"917",3
"918",1
"919",1
"920",1
"921",4
"922",4
"923",3
"924",1
"925",4
"926",2
"927",1
"928",3
"929",4
"930",1
"931",1
"932",2
"933",4
"934",4
"935",4
"936",4
"937",4
"938",3
"939",4
"940",4
"941",2
"942",2
"943",3
"944",2
"945",2
"946",3
"947",2
"948",3
"949",1
"950",2
"951",4
"952",4
"953",3
"954",4
"955",4
"956",1
"957",1
"958",1
"959",1
"960",1
"961",4
"962",3
"963",4
"964",4
"965",4
"966",1
"967",1
"968",2
"969",1
"970",2
"971",1
"972",1
"973",1
"974",1
"975",1
"976",4
"977",3
"978",1
"979",1
"980",3
"981",2
"982",1
"983",4
"984",2
"985",1
"986",2
"987",1
"988",2
"989",1
"990",3
"991",4
"992",2
"993",2
"994",1
"995",2
"996",3
"997",1
"998",2
"999",3
"1000",2
